Time,Data
1,3597
2,3597
3,3602
4,3582
5,3589
6,3583
7,3583
8,3581
9,3577
10,3582
11,3577
12,3577
13,3586
14,3565
15,3562
16,3569
17,3569
18,3558
19,3572
20,3553
21,3550
22,3550
23,3556
24,3554
25,3522
26,3550
27,3550
28,3542
29,3532
30,3535
31,3536
32,3536
33,3515
34,3527
35,3530
36,3530
37,3523
38,3526
39,3528
40,3526
41,3526
42,3530
43,3522
44,3520
45,3520
46,3520
47,3517
48,3518
49,3522
50,3516
51,3516
52,3513
53,3514
54,3524
55,3515
56,3515
57,3515
58,3514
59,3515
60,3504
61,3504
62,3514
63,3514
64,3505
65,3513
66,3513
67,3512
68,3507
69,3503
70,3515
71,3515
72,3520
73,3514
74,3520
75,3503
76,3503
77,3499
78,3503
79,3520
80,3520
81,3509
82,3501
83,3511
84,3508
85,3508
86,3515
87,3500
88,3508
89,3499
90,3499
91,3507
92,3500
93,3488
94,3510
95,3510
96,3511
97,3506
98,3518
99,3518
100,3518
101,3512
102,3521
103,3514
104,3510
105,3510
106,3515
107,3509
108,3519
109,3517
110,3517
111,3509
112,3528
113,3522
114,3517
115,3517
116,3513
117,3522
118,3525
119,3528
120,3528
121,3529
122,3524
123,3530
124,3530
125,3522
126,3527
127,3531
128,3524
129,3524
130,3517
131,3524
132,3529
133,3530
134,3530
135,3521
136,3529
137,3537
138,3511
139,3511
140,3525
141,3518
142,3530
143,3525
144,3525
145,3525
146,3536
147,3520
148,3521
149,3521
150,3518
151,3534
152,3516
153,3520
154,3520
155,3517
156,3523
157,3513
158,3535
159,3535
160,3523
161,3520
162,3515
163,3511
164,3511
165,3512
166,3519
167,3521
168,3521
169,3515
170,3517
171,3511
172,3523
173,3523
174,3522
175,3525
176,3535
177,3516
178,3516
179,3530
180,3529
181,3524
182,3516
183,3516
184,3544
185,3521
186,3533
187,3533
188,3533
189,3526
190,3538
191,3540
192,3548
193,3548
194,3544
195,3545
196,3540
197,3540
198,3540
199,3543
200,3545
201,3544
202,3546
203,3546
204,3551
205,3552
206,3548
207,3546
208,3546
209,3549
210,3561
211,3554
212,3554
213,3556
214,3557
215,3575
216,3558
217,3558
218,3560
219,3555
220,3565
221,3567
222,3567
223,3558
224,3566
225,3574
226,3567
227,3567
228,3566
229,3567
230,3583
231,3564
232,3564
233,3554
234,3567
235,3567
236,3566
237,3566
238,3556
239,3558
240,3571
241,3568
242,3568
243,3572
244,3563
245,3565
246,3567
247,3567
248,3572
249,3559
250,3567
251,3569
252,3569
253,3564
254,3570
255,3571
256,3571
257,3568
258,3572
259,3580
260,3573
261,3573
262,3567
263,3573
264,3566
265,3575
266,3575
267,3574
268,3578
269,3577
270,3571
271,3571
272,3584
273,3569
274,3579
275,3582
276,3582
277,3580
278,3593
279,3590
280,3587
281,3587
282,3577
283,3593
284,3586
285,3585
286,3585
287,3587
288,3587
289,3590
290,3589
291,3589
292,3595
293,3594
294,3591
295,3596
296,3596
297,3589
298,3600
299,3604
300,3604
301,3603
302,3603
303,3600
304,3607
305,3607
306,3595
307,3596
308,3601
309,3601
310,3601
311,3599
312,3596
313,3604
314,3604
315,3604
316,3602
317,3588
318,3611
319,3605
320,3605
321,3608
322,3593
323,3607
324,3607
325,3607
326,3607
327,3603
328,3602
329,3601
330,3601
331,3605
332,3604
333,3597
334,3594
335,3594
336,3600
337,3599
338,3593
339,3594
340,3594
341,3591
342,3591
343,3575
344,3575
345,3583
346,3583
347,3581
348,3572
349,3572
350,3577
351,3567
352,3577
353,3567
354,3567
355,3554
356,3562
357,3566
358,3541
359,3541
360,3549
361,3548
362,3550
363,3533
364,3533
365,3543
366,3542
367,3526
368,3532
369,3532
370,3531
371,3535
372,3538
373,3525
374,3525
375,3525
376,3521
377,3518
378,3521
379,3521
380,3520
381,3515
382,3520
383,3515
384,3515
385,3520
386,3517
387,3512
388,3512
389,3510
390,3518
391,3515
392,3512
393,3512
394,3516
395,3512
396,3494
397,3508
398,3508
399,3509
400,3508
401,3503
402,3508
403,3508
404,3515
405,3505
406,3511
407,3509
408,3509
409,3508
410,3514
411,3514
412,3508
413,3508
414,3518
415,3503
416,3511
417,3515
418,3515
419,3509
420,3510
421,3507
422,3507
423,3507
424,3505
425,3512
426,3503
427,3501
428,3501
429,3511
430,3507
431,3522
432,3522
433,3504
434,3507
435,3508
436,3513
437,3513
438,3512
439,3519
440,3516
441,3517
442,3517
443,3512
444,3506
445,3494
446,3511
447,3511
448,3510
449,3514
450,3514
451,3506
452,3506
453,3515
454,3518
455,3524
456,3518
457,3518
458,3521
459,3520
460,3530
461,3531
462,3531
463,3518
464,3525
465,3526
466,3534
467,3534
468,3537
469,3534
470,3525
471,3532
472,3532
473,3531
474,3529
475,3535
476,3535
477,3536
478,3537
479,3553
480,3532
481,3532
482,3536
483,3534
484,3537
485,3538
486,3538
487,3539
488,3548
489,3549
490,3538
491,3538
492,3539
493,3542
494,3557
495,3547
496,3547
497,3548
498,3551
499,3551
500,3547
501,3547
502,3553
503,3556
504,3552
505,3547
506,3547
507,3553
508,3552
509,3547
510,3558
511,3558
512,3543
513,3561
514,3557
515,3556
516,3556
517,3567
518,3559
519,3564
520,3564
521,3561
522,3561
523,3565
524,3555
525,3555
526,3559
527,3554
528,3555
529,3556
530,3556
531,3561
532,3563
533,3568
534,3573
535,3573
536,3578
537,3570
538,3579
539,3562
540,3562
541,3577
542,3567
543,3587
544,3568
545,3568
546,3572
547,3584
548,3582
549,3571
550,3571
551,3580
552,3577
553,3592
554,3589
555,3589
556,3579
557,3583
558,3579
559,3588
560,3588
561,3585
562,3594
563,3579
564,3579
565,3587
566,3589
567,3592
568,3587
569,3587
570,3591
571,3580
572,3594
573,3592
574,3592
575,3592
576,3591
577,3601
578,3590
579,3590
580,3594
581,3588
582,3593
583,3594
584,3594
585,3597
586,3603
587,3592
588,3597
589,3597
590,3588
591,3599
592,3599
593,3601
594,3601
595,3590
596,3615
597,3592
